Klirosi,Date,Klirosi,tzoker1,tzoker2,tzoker3,tzoker4,tzoker5,tzoker
3029,24-8-2023,2640,6,24,34,39,41,13
3028,22-8-2023,2639,4,6,34,37,44,10
3027,20-8-2023,2638,16,17,26,28,41,10
3026,17-8-2023,2637,3,12,22,23,40,13
3025,16-8-2023,2636,8,25,30,33,41,7
3024,13-8-2023,2635,9,21,34,35,43,3
3023,10-8-2023,2634,7,12,15,33,44,8
3022,8-8-2023,2633,9,15,17,28,37,12
3021,6-8-2023,2632,14,19,30,31,34,16
3020,3-8-2023,2631,1,3,6,26,36,18
3019,1-8-2023,2630,1,10,18,23,24,8
3018,30-7-2023,2629,8,12,25,32,35,7
3017,27-7-2023,2628,19,20,22,32,37,2
3016,25-7-2023,2627,9,11,29,35,36,5
3015,23-7-2023,2626,7,17,25,26,42,1
3014,20-7-2023,2625,8,17,19,31,45,12
3013,18-7-2023,2624,10,12,21,36,39,1
3012,16-7-2023,2623,1,27,34,42,44,14
3011,13-7-2023,2622,1,2,8,14,25,19
3010,11-7-2023,2621,22,33,39,42,45,1
3009,9-7-2023,2620,12,15,38,39,40,17
3008,6-7-2023,2619,3,11,15,17,40,10
3007,4-7-2023,2618,6,9,28,34,44,16
3006,2-7-2023,2617,10,18,24,26,28,18
3005,29-6-2023,2616,11,14,17,38,39,11
3004,27-6-2023,2615,2,12,19,22,32,1
3003,25-6-2023,2614,33,34,41,43,44,5
3002,22-6-2023,2613,3,4,19,42,45,11
3001,20-6-2023,2612,12,35,38,39,45,1
3000,18-6-2023,2611,1,8,12,21,44,10
2999,15-6-2023,2610,9,26,28,33,38,10
2998,13-6-2023,2609,7,21,26,28,40,11
2997,11-6-2023,2608,7,16,24,26,42,11
2996,8-6-2023,2607,1,13,22,38,44,6
2995,6-6-2023,2606,18,19,32,37,39,14
2994,4-6-2023,2605,5,10,16,20,23,16
2993,1-6-2023,2604,7,22,23,33,44,20
2992,30-5-2023,2603,1,17,19,25,27,7
2991,28-5-2023,2602,15,16,29,35,42,12
2990,25-5-2023,2601,4,6,9,13,43,9
2989,23-5-2023,2600,1,11,14,34,38,9
2988,21-5-2023,2599,1,10,18,29,44,20
2987,18-5-2023,2598,17,23,27,28,33,4
2986,16-5-2023,2597,5,12,20,22,24,7
2985,14-5-2023,2596,7,18,29,38,39,4
2984,11-5-2023,2595,4,8,31,35,40,3
2983,9-5-2023,2594,18,19,20,30,33,7
2982,7-5-2023,2593,20,25,36,44,45,20
2981,4-5-2023,2592,6,11,21,27,41,20
2980,2-5-2023,2591,3,8,22,36,40,9
2979,30-4-2023,2590,5,10,12,14,44,5
2978,27-4-2023,2589,8,9,23,29,32,9
2977,25-4-2023,2588,7,8,17,20,45,17
2976,23-4-2023,2587,6,20,35,39,40,6
2975,20-4-2023,2586,4,14,20,22,36,1
2974,18-4-2023,2585,8,11,13,15,18,5
2973,15-4-2023,2584,1,2,3,11,40,1
2972,12-4-2023,2583,3,7,23,29,41,17
2971,11-4-2023,2582,4,10,21,22,44,15
2970,9-4-2023,2581,11,25,26,30,34,7
2969,6-4-2023,2580,5,17,19,39,45,20
2968,4-4-2023,2579,1,4,14,20,24,7
2967,2-4-2023,2578,3,8,16,28,32,4
2966,30-3-2023,2577,3,4,8,12,38,1
2965,28-3-2023,2576,14,16,28,31,42,19
2964,26-3-2023,2575,1,15,22,38,45,19
2963,23-3-2023,2574,8,18,22,34,39,19
2962,21-3-2023,2573,9,19,23,37,42,13
2961,19-3-2023,2572,1,14,34,37,44,13
2960,16-3-2023,2571,7,17,21,25,42,3
2959,14-3-2023,2570,7,12,17,29,42,4
2958,12-3-2023,2569,3,17,29,39,44,12
2957,9-3-2023,2568,2,3,13,34,43,18
2956,7-3-2023,2567,9,11,15,26,41,8
2955,5-3-2023,2566,10,22,30,34,45,9
2954,2-3-2023,2565,2,15,32,35,45,11
2953,28-2-2023,2564,2,3,4,18,42,7
2952,26-2-2023,2563,5,27,38,41,42,3
2951,23-2-2023,2562,21,23,32,38,43,20
2950,21-2-2023,2561,2,3,4,22,30,7
2949,19-2-2023,2560,4,5,6,16,31,15
2948,16-2-2023,2559,4,15,16,22,33,7
2947,14-2-2023,2558,10,11,21,25,35,11
2946,12-2-2023,2557,3,5,9,16,28,18
2945,9-2-2023,2556,12,24,37,39,43,16
2944,7-2-2023,2555,3,14,18,33,44,11
2943,5-2-2023,2554,11,15,34,35,37,13
2942,2-2-2023,2553,1,5,10,28,41,3
2941,31-1-2023,2552,1,6,20,21,43,8
2940,29-1-2023,2551,3,6,35,38,42,16
2939,26-1-2023,2550,3,6,9,11,36,20
2938,24-1-2023,2549,13,14,23,30,38,11
2937,22-1-2023,2548,8,12,17,20,29,13
2936,19-1-2023,2547,2,16,20,28,31,3
2935,17-1-2023,2546,4,9,13,18,27,18
2934,15-1-2023,2545,23,26,30,35,42,18
2933,12-1-2023,2544,8,12,17,25,30,3
2932,10-1-2023,2543,3,9,18,33,44,16
2931,8-1-2023,2542,4,5,13,17,32,12
2930,5-1-2023,2541,10,21,28,29,35,9
2929,3-1-2023,2540,6,13,32,34,41,8
